Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
form_africapic_desc;After expelling the colonizers and unifying all the African peoples in a single political entity, it is time to move forward as a nation and transform ourselves into a confederation that represents each people, culture and ethnicity.;;;;Tras Expulsar a los colonizadores y unificar todos los pueblos africanos en un solo ente politico es hora de avanzar como nacion y transformarnos en una confederacion que represente a cada pueblo, cultura y etnia.;;;;;;;;
form_laplata_title;Form La Plata;Form La Plata;Form La Plata;;Forma La Plata;;;;;;;;;x
form_laplata_desc;We can form La Plata!;We can form La Plata!;We can form La Plata!;;Podemos formar La Plata;;;;;;;;;x
cores_bolivia_title;Get cores at bolivia!;Get cores at bolivia!;Get cores at bolivia!;;Consigue cores a bolivia!;;;;;;;;;x
cores_bolivia_desc;Why Bolivia separated of us?! Let's get it back.;Why Bolivia separated of us?! Let's get it back.;Why Bolivia separated of us?! Let's get it back.;;Por que bolivia se separo de nostros?! Vamos a conseguirlo de nuevo.;;;;;;;;;x
claim_chile_title;Claim Chile!;Claim Chile!;Claim Chile!;;Reclama Chile!;;;;;;;;;x
claim_chile_desc;Chile was us too no? Well, we got la paz, so let's claim it.;Chile was us too no? Well, we got la paz, so let's claim it.;Chile was us too no? Well, we got la paz, so let's claim it.;;;;;;;;;;;x
verdaera_alemania_title;Take the German throne;;;;;;;;;;;;
verdaera_alemania_desc;Since we became independent from Germany, it is time to reclaim Germany completely.;;;;;;;;;;;;
reconquest_of_transilvania_title;Reconquest of Transilvania;;;;;;;;;x
reconquest_of_transilvania_desc;Transilvania belongs to Romania. The Austrian and Hungarian menece shell leave our lands, therefore we must reconquer Tansilvania and integrate it, this for the glory of Romania and it's king!;;;;;;;;;x
bohemia_germanica_title;Take Bohemia;;;;;;;;;;;;
bohemia_germanica_desc;Now that the Austrian Empire has fallen, we have to take its place in Bohemia.;;;;;;;;;;;;
benelux_germanica_title;Control the Benelux;;;;;;;;;;;;
benelux_germanica_desc;We have to expand the German Empire so that what happened in World War I doesn't repeat.;;;;;;;;;;;;
poland_germanica_title;Take Poland;;;;;;;;;;;;
poland_germanica_desc;After so much time, it's time to integrate Poland into our empire.;;;;;;;;;;;;
win_CSO_title;Reunify the United States of America;;;;;;;;;;;;
win_CSO_desc;After a long time, we were able to emerge as the winners of the civil war and unify the United States;;;;;;;;;;;;
win_UAS_title;Reunify the United States of America;;;;;;;;;;;;
win_UAS_desc;After a long time, we were able to emerge as the winners of the civil war and unify the United States;;;;;;;;;;;;
win_PSA_title;Reunify the United States of America;;;;;;;;;;;;
win_PSA_desc;After a long time, we were able to emerge as the winners of the civil war and unify the United States;;;;;;;;;;;;
win_USA_title;Reunify the United States of America;;;;;;;;;;;;
win_USA_desc;After a long time, we were able to emerge as the winners of the civil war and unify the United States;;;;;;;;;;;;
